province,trueName
"江西省","江西省新余市渝水区仙来街道龙州社区党支部书记、居委会主任－简小红－全国优秀城乡社区工作者"
"山东省","山东省济南市天桥区工人新村南村街道西区社区党委书记－田象霞－全国优秀共产党员"
"山东省","山东省东营市胜利街道胜宏社区党委书记、居委会主任－梅玉莲－全国优秀城乡社区工作者"
"山东省","山东省烟台市龙口市东江街道锦里社区党总支书记－邢燕－全国优秀城乡社区工作者"
"山东省","山东省济宁市任城区古槐街道北门街社区党委书记、居委会主任－吕秀云－全国优秀城乡社区工作者"
"河南省","河南省鹤壁市淇滨区黎阳路街道佳和社区党支部书记、居委会主任－王玉超－全国优秀城乡社区工作者"
"河南省","河南省焦作市山阳区艺新街道“冬香好妈妈”工作站党支部书记－张冬香－全国三八红旗手"
"河南省","河南省洛阳市老城区建安门街道居民、洛阳雷锋车队队长，洛阳巡游网约车驾驶员－娄建党－全国劳动模范"
"河南省","河南省洛阳市孟津区城关镇调解员－李威武－全国模范人民调解员"
"河南省","河南省漯河市源汇区顺河街街道建设西路社区党委书记、居委会主任－梁三阁－全国优秀城乡社区工作者"
"河南省","河南省驻马店市正阳县寒冻镇司法调解员－吴佳－全国模范人民调解员"
"湖北省","湖北省荆州市监利市精华水稻种植专业合作社理事长－毕丽霞－全国三八红旗手"
"湖北省","湖北省荆州市荆州区城南街道新风社区居委会委员、治调主任－李孝明－全国民族团结进步模范个人"
"湖北省","湖北省荆州市荆州区郢城镇凤鸣社区党委书记、居委会主任－郭兵－全国抗击新冠肺炎疫情先进个人"
"湖北省","湖北省荆州市蒲公英爱心协会志愿者－玉苏普江·艾比布拉－全国民族团结进步模范个人"
"湖北省","湖北省潜江市园林街道红庙社区党支部书记、居委会主任－李焕森－全国优秀党务工作者、全国抗击新冠肺炎疫情先进个人"
"湖北省","湖北省十堰市张湾区汉江路街道阳光社区党委书记、居委会主任－马丽－全国优秀城乡社区工作者"
"湖北省","湖北省随州市曾都区北郊街道八里岔社区党委书记、居委会主任－许旭－党的十九大代表、全国优秀共产党员、全国三八红旗手、全国抗击新冠肺炎疫情先进个人"
"湖北省","湖北省随州市曾都区东城街道舜井道社区党委书记、居委会主任－卢志明－全国优秀城乡社区工作者"
"湖北省","湖北省随州市曾都区何店镇王家河社区党支部书记、居委会主任－顾娟－党的二十大代表"
"湖北省","湖北省鄂州市鄂城区凤凰街道菜园头社区党委书记、居委会主任－许红艳－全国三八红旗手、全国优秀城乡社区工作者"
"湖北省","湖北省随州市曾都区西城街道白云湖社区党委书记、居委会主任－裴海娥－全国优秀党务工作者"
"湖北省","湖北省天门市侯口街道侨乡社区党总支书记、居委会主任－李敬华－全国优秀城乡社区工作者、全国三八红旗手"
"湖北省","湖北省武汉市东湖新城社区党总支书记、居委会主任－陶久娣－全国优秀共产党员、全国抗击新冠肺炎疫情先进个人"
"湖北省","湖北省武汉市东湖新区佛祖岭街道佛祖岭B社区党总支书记、居委会主任－田鸣－全国抗击新冠肺炎疫情先进个人"
"湖北省","湖北省武汉市东西湖区常青花园第一社区党委书记、居委会主任－白宓－全国抗击新冠肺炎疫情先进个人"
"湖北省","湖北省武汉市汉阳区龙阳街道芳草社区党总支书记－杜云－全国优秀共产党员、全国抗击新冠肺炎疫情先进个人"
"湖北省","湖北省武汉市汉阳区琴断口街七里一村社区党委书记、居委会主任－孙睿华－全国抗击新冠肺炎疫情先进个人"
"湖北省","湖北省武汉市洪山区珞南街尤李社区党委专职副书记－黄恒－全国优秀共产党员、全国抗击新冠肺炎疫情先进个人"
"湖北省","湖北省武汉市江岸区百步亭社区党委副书记、管委会主任－王波－政府特殊津贴、全国优秀党务工作者、全国最美城乡社区工作者"
"湖北省","湖北省武汉市武昌区茶港社区党委书记、居委会主任－帅霞－全国抗击新冠肺炎疫情先进个人"
"湖北省","湖北省武汉市武昌区紫阳街起义门社区党委书记－魏玉萍－全国民族团结进步模范个人"
"湖北省","湖北省武汉市长江新区武湖街道青龙社区党总支书记、居委会主任－孙德欣－全国抗击新冠肺炎疫情先进个人"
"湖北省","湖北省仙桃市沙嘴街道春天社区党总支书记、居委会主任－杨胜雄－全国优秀城乡社区工作者"
"湖北省","湖北省咸宁市赤壁市蒲圻街道华舟社区党委书记、居委会主任－金玲－全国优秀城乡社区工作者"
"湖北省","湖北省孝感市汉川市仙女山街道祥和花园社区党总支书记、居委会主任－栾艳平－全国优秀城乡社区工作者"
"湖北省","湖北省宜昌市当阳市两河镇麦城社区党支部委员－张青山－全国劳动模范"
"湖北省","湖北省宜昌市伍家岗区宝塔河街道韩家坝社区人民调解委员会主任－娄义－全国模范人民调解员"
"湖北省","湖北省鄂州市鄂城区西山街道西山社区党委书记、居委会主任－熊学敏－全国优秀共产党员、全国抗击新冠肺炎疫情先进个人"
"湖北省","湖北省宜昌市猇亭区古老背街道桐岭新村社区党委委员、居委会副主任－冯金玉－全国模范人民调解员"
"湖北省","湖北省恩施州来凤县翔凤镇花园堡社区党委书记、居委会主任－连芳－全国三八红旗手、全国模范人民调解员"
"湖北省","湖北省恩施州宣恩县珠山镇上湖塘社区党委书记－汪明菊－全国民族团结进步模范个人"
"湖北省","湖北省黄冈市黄梅县爱心义工协会会长－虞红霞－全国三八红旗手"
"湖北省","湖北省荆门市东宝区龙泉街道离退休干部党支部书记－樊翠兰－全国三八红旗手"
"湖南省","湖南省长沙市雨花区井湾子街道井湘社区党总支书记、居委会主任－许各利－全国模范人民调解员"
"湖南省","湖南省长沙市开福区秀峰街道湘民社区党委书记、居委会主任－章丽霞－全国优秀城乡社区工作者"
"湖南省","湖南省郴州市北湖区燕泉街道阳光苑社区党总支书记、居委会主任－陈杰－全国优秀城乡社区工作者"
"湖南省","湖南省邵阳市北塔区状元洲街道柘木社区党总支书记、居委会主任－李躲胜－全国优秀城乡社区工作者"
"湖南省","湖南省邵阳市北塔区状元洲街道柘木社区妇联主席、社区调委会主任－邓安华－全国模范人民调解员"
"湖南省","湖南省湘潭市湘潭经济技术开发区和平街道吉利社区党总支书记、居委会主任－颜秀芝－全国优秀城乡社区工作者"
"湖南省","湖南省湘潭市岳塘区岳塘街道纯冲塘社区党总支书记、居委会主任－李畅－全国抗击新冠肺炎疫情优秀城乡社区工作者"
"湖南省","湖南省益阳市赫山区会龙山街道龙山岗社区党总支书记、居委会主任－张跃－全国优秀城乡社区工作者"
"广东省","广东省深圳市坪山区碧岭街道碧岭社区党委副书记、市二级调解员－潘名汉－全国模范人民调解员"
"广东省","广东省中山市石岐街道桂园社区党委书记、居委会主任－关绮文－全国优秀城乡社区工作者"
"广东省","广东省惠州市惠城区龙丰街道花园水社区党委书记－丁丹－全国优秀城乡社区工作者"
"广东省","广东省江门市环市街道天福社区党总支部书记、居委会主任－林晓红－全国优秀城乡社区工作者"
"广东省","广东省梅州市平远县城北社区党委书记、居委会主任－肖榆－全国优秀城乡社区工作者"
"广东省","广东省汕尾市城区东涌镇碧桂园社区党支部书记、居委会主任－周秋容－全国优秀城乡社区工作者"
"广东省","广东省韶关南雄市雄州街道民主社区党委书记、居委会主任－王燕飞－全国优秀城乡社区工作者 "
"广东省","广东省阳江市江城区城东街道鹰山社区党委书记－陈国威－全国优秀城乡社区工作者"
"广东省","广东省肇庆市德庆县德城街道城东社区党支部书记、居委会主任－何海冰－全国优秀城乡社区工作者"
"广东省","广东省珠海市香洲区茂盛社区党委书记－杨斌－党的二十大代表"
"广东省","广东省东莞市长安镇乌沙社区党委书记、居委会主任－蔡国栋－全国优秀城乡社区工作者"
"广东省","广东省广州市荔湾区金花街道蟠虬社区党委书记－区燕明－全国人大代表"
"广东省","广东省广州市天河区启智社会工作服务中心党支部书记、总干事、广州青年志愿服务启智队总队长－李森－全国优秀党务工作者"
"广东省","广东省河源市龙川县登云镇人民调解委员会主任－黄小球－全国模范人民调解员"
"广东省","广东省河源市龙川县老隆镇水上新村社区党委书记－李巧－全国优秀城乡社区工作者"
"广东省","广东省深圳市南山区招商街道沿山社区党委书记、居委会主任－吴红霞－全国优秀党务工作者"
"北京市","北京市石景山区八角街道八角中里社区党委书记、居委会主任－李美红－全国抗击新冠肺炎疫情先进个人、党的二十大代表、全国三八红旗手"
"北京市","北京市昌平区霍营街道华龙苑北里社区党支部书记、居委会主任－王翠娟－全国先进工作者、全国抗击新冠肺炎疫情先进个人、全国优秀城乡社区工作者"
"北京市","北京市昌平区龙泽园街道龙泽苑社区党委书记、居委会主任、妇联主席－伊然－全国三八红旗手"
"北京市","北京市东城区交道口街道福祥社区党委书记－李德青－全国抗击新冠肺炎疫情先进个人"
"北京市","北京市房山区西潞街道苏庄三里社区党委书记－邵雪松－全国劳动模范"
"北京市","北京市丰台区丰台街道游泳场北路社区党委书记、居委会主任－邓丽华－全国优秀城乡社区工作者"
"北京市","北京市海淀区万寿路街道28号社区党委书记－贾秀杰－全国抗击新冠肺炎疫情先进个人"
"北京市","北京市平谷区滨河街道滨河社区党总支书记－刘浩雪－全国优秀城乡社区工作者"
"北京市","北京市平谷区峪口镇欢乐蜂场“妇”字号基地负责人－赵丽梅－全国三八红旗手"
"广西壮族自治区","广西壮族自治区贵港市港南区江南街道廉石社区党总支书记、居委会主任－李卓献－全国优秀城乡社区工作者"
"广西壮族自治区","广西壮族自治区桂林市象山区南门街道翠竹路社区党委书记、居委会主任－汤瑛－全国抗击新冠肺炎疫情先进个人、全国优秀共产党员"
"广西壮族自治区","广西壮族自治区桂林市秀峰区丽君街道飞凤社区党委书记、居委会主任－叶晓明－全国模范人民调解员、广西第二次全国经济普查工作中被评为自治区级先进个人、自治区优秀共产党员、全"
"广西壮族自治区","广西壮族自治区桂林市秀峰区秀峰街道解东社区党委书记、居委会主任－车志龙－全国优秀城乡社区工作者"
"广西壮族自治区","广西壮族自治区钦州市钦南区文峰街道文昌社区党委书记、居委会主任－关中艳－全国优秀城乡社区工作者"
"海南省","海南省文昌市龙楼镇航天社区党支部书记、居委会主任－符芳福－全国优秀城乡社区工作者"
"重庆市","重庆市两江新区人和街道邢家桥社区党委书记、居委会主任－谢兰－全国三八红旗手、全国优秀共产党员、全国优秀城乡社区工作者"
"重庆市","重庆市万州区五桥街道香炉山社区党支部书记、居委会主任－傅山祥－全国人大代表、全国优秀共产党员"
"重庆市","重庆市渝中区上清寺街道嘉西村社区党委书记、居委会主任－吴中兰－全国优秀党务工作者"
"四川省","四川省成都市四川圆通速递有限公司党员快递员－唐建－全国优秀共产党员"
"四川省","四川益路同行慈善服务中心理事长－李强－全国劳动模范"
"四川省","四川省成都市锦江区爱有戏社区文化发展中心主任－刘飞－全国三八红旗手、全国社会工作领军人才、全国劳动模范"
"四川省","四川省成都市天府新区华阳街道安公社区党委书记－张彪－全国优秀党务工作者"
"四川省","四川省成都市网约车协会熊猫志愿车队党支部副书记、队长，成都吉利优行科技有限公司网约车司机－张桂容－全国劳动模范"
"四川省","四川省成都市武侯区黉门街社区党委书记、居委会主任－申民辉－全国先进工作者"
"四川省","四川省德阳市罗江区万安镇黎明社区党总支书记、居委会主任－李定碧－全国优秀党务工作者"
"四川省","四川省广安市武胜县沿口镇建设北路社区党委副书记－赵国锋－全国优秀党务工作者"
"四川省","四川省南充市南部县蜀北街道新华路西段社区党总支书记、居委会主任－郭瑜知－党的二十大代表、全国三八红旗手"
"四川省","四川省内江市东兴区新江街道东风社区党委书记、居委会主任－王钦－全国优秀党务工作者"
"四川省","四川省攀枝花市仁和区仁和镇银华社区原书记－唐应萍－全国优秀党务工作者"
"贵州省","贵州省毕节市织金县猫场镇团结社区党总支书记、居委会主任－吴贵红－全国优秀城乡社区工作者"
"贵州省","贵州省铜仁市万山区丹都街道旺家社区党总支书记、居委会主任－何英－全国劳动模范、全国三八红旗手"
"云南省","云南省普洱市思茅区南屏镇倒生根社区党委书记、居委会主任－李亚玲－全国优秀党务工作者"
"云南省","云南省曲靖市麒麟区寥廓街道天池社区党委书记、居委会主任－张恒辅－全国优秀城乡社区工作者"
"云南省","云南省文山州文山市开化街道永通社区党委书记－陆永艾－全国民族团结进步模范个人"
"云南省","云南省玉溪市红塔区玉兴街道北苑社区党总支书记、居委会主任－周希－全国优秀城乡社区工作者"
"云南省","云南省楚雄市鹿城镇栗子园社区党总支书记－吕燕－全国优秀城乡社区工作者"
"云南省","云南省德宏州瑞丽市勐卯镇兴安社区党总支书记、居委会主任－周全国－全国优秀共产党员"
"云南省","云南省开远市非公经济组织联合党委书记－代红辉－全国优秀党务工作者、全国三八红旗手"
"云南省","云南省昆明市官渡区关上街道关上中心社区党委书记、居委会主任－张惠－全国民族团结进步模范个人"
"云南省","云南省昆明市盘龙区东华街道文艺路社区党委书记、居委会主任－苏琼芬－全国民族团结进步模范个人"
